Model,Model Number,K,neg2LogL,AICc,deltaAICc,Weight,Weight.pct,Transmission_mode_1a,Transmission_mode_1b,Transmission_mode_2a,Transmission_mode_2b,Transmission_mode_2c,Transmission_mode_2d,Transmission_mode_3a,Transmission_mode_3b,Transmission_mode_3c,Transmission_mode_3d,Transmission_mode_3e,Transmission_mode_3f
6a,12,1,87.99753139,90.39753139,0,0.348948513,34.8948513,0,0,0,0,0,0,1,0,0,0,0,0
7a,17,4,78.85908658,92.5733723,2.175840905,0.117566477,11.75664766,0,1,0,0,0,0,1,0,0,0,0,0
7c,19,4,78.85908658,92.5733723,2.175840905,0.117566477,11.75664766,0,1,0,0,0,0,0,0,1,0,0,0
6e,16,2,87.52901266,92.862346,2.464814604,0.101749823,10.17498228,0,0,0,0,0,0,0,0,0,0,1,0
8a1,22,2,87.99493439,93.32826773,2.930736334,0.08060464,8.060464007,0,0,1,0,0,0,1,0,0,0,0,0
8b1,23,3,86.11482354,95.11482354,4.717292144,0.032992436,3.299243565,0,0,0,1,0,0,1,0,0,0,0,0
6d,15,3,86.54551838,95.54551838,5.147986989,0.026600523,2.660052333,0,0,0,0,0,0,0,0,0,1,0,0
10a,62,3,86.84200562,95.84200562,5.444474225,0.022935531,2.293553081,0,0,0,0,0,0,0,0,0,0,0,1
1a,1,3,86.90995744,95.90995744,5.512426046,0.022169365,2.216936457,1,0,0,0,0,0,0,0,0,0,0,0
6b,13,3,86.96155097,95.96155097,5.564019574,0.02160478,2.160478023,0,0,0,0,0,0,0,1,0,0,0,0
8c1,24,3,87.21762855,96.21762855,5.820097158,0.019008302,1.900830151,0,0,0,0,1,0,1,0,0,0,0,0
8a3,30,3,87.52218525,96.52218525,6.124653858,0.016323364,1.632336399,0,0,1,0,0,0,0,0,1,0,0,0
8a5,38,3,87.52267741,96.52267741,6.125146021,0.016319348,1.63193476,0,0,1,0,0,0,0,0,0,0,1,0
9a1,42,5,76.658282,96.658282,6.260750608,0.015249536,1.524953606,0,1,1,0,0,0,1,0,0,0,0,0
6c,14,2,91.64377142,96.97710476,6.579573366,0.013002449,1.30024487,0,0,0,0,0,0,0,0,1,0,0,0
7e,21,5,78.62526227,98.62526227,8.227730876,0.00570338,0.57033798,0,1,0,0,0,0,0,0,0,0,1,0
8a4,34,4,85.45677562,99.17106134,8.773529943,0.004341237,0.434123736,0,0,1,0,0,0,0,0,0,1,0,0
8b3,31,4,85.78272658,99.49701229,9.0994809,0.003688367,0.368836745,0,0,0,1,0,0,0,0,1,0,0,0
8d1,25,4,86.00696168,99.72124739,9.323715998,0.003297176,0.329717613,0,0,0,0,0,1,1,0,0,0,0,0
8c3,32,4,87.46473129,101.179017,10.78148561,0.001590712,0.159071179,0,0,0,0,1,0,0,0,1,0,0,0
8b5,39,4,88.07062346,101.7849092,11.38737778,0.001174962,0.117496163,0,0,0,1,0,0,0,0,0,0,1,0
